14277,750,19650,25000
18146,1536,25000,10017
25000,494,25000,25000
7051,649,4445,16250
21254,337,25000,6445
25000,285,25000,25000
3580,1003,17659,25000
25000,1139,22930,24240
1716,305,8369,25000
25000,1335,25000,6164
14054,515,6496,1153
25000,25000,25000,25000
4137,2151,14578,25000
25000,1835,2190,14136
25000,25000,25000,25000
6997,957,4891,25000
25000,627,8037,6888
25000,388,21776,25000
25000,303,1968,3854
19838,587,12347,14090
