48,24,80,40,88,224,104,16,40,168,256,128,328,8,80,16,80,144,24,88,88,40,192,48,216
88,112,80,144,56,64,272,96,136,200,96,152,296,8,72,56,16,168,184,40,272,112,120,32,80
48,16,32,96,64,24,80,128,200,128,32,88,160,8,224,24,136,128,24,64,40,208,72,56,232
16,112,112,24,48,72,112,64,16,136,136,16,312,8,192,264,24,192,16,32,40,56,32,240,16
24,40,32,48,120,112,216,352,264,72,64,48,16,8,176,16,240,104,32,48,96,48,136,80,216
56,336,112,40,88,80,48,40,48,32,136,160,16,8,160,144,224,40,168,96,80,264,96,40,168
96,104,136,128,224,232,200,16,152,256,112,80,56,8,112,32,192,56,104,120,88,160,96,40,24
16,24,32,48,48,232,216,40,232,184,144,24,264,8,104,240,152,40,16,144,40,152,256,48,16
56,152,16,72,40,192,88,32,96,56,240,64,200,8,208,136,88,24,56,48,64,96,24,224,120
16,72,24,32,16,200,200,56,64,88,24,16,248,8,88,16,64,104,16,40,80,136,200,16,16
24,32,160,40,80,40,24,32,56,88,304,24,48,8,48,16,56,48,72,176,328,112,64,64,64
328,120,24,104,48,72,120,16,48,72,40,152,160,8,240,16,128,64,16,32,136,64,88,192,64
16,120,40,24,56,40,176,216,192,160,88,16,48,8,88,16,208,56,16,80,208,120,48,32,16
112,72,48,64,56,128,304,144,32,48,248,16,64,8,40,288,64,80,24,80,144,32,368,80,24
48,24,80,40,88,224,104,16,40,168,256,128,328,8,80,16,80,144,24,88,88,40,192,48,216
88,112,80,144,56,64,272,96,136,200,96,152,296,8,72,56,16,168,184,40,272,112,120,32,80
48,16,32,96,64,24,80,128,200,128,32,88,160,8,224,24,136,128,24,64,40,208,72,56,232
16,112,112,24,48,72,112,64,16,136,136,16,312,8,192,264,24,192,16,32,40,56,32,240,16
48,24,80,40,88,224,104,16,40,168,256,128,328,8,80,16,80,144,24,88,88,40,192,48,216
88,112,80,144,56,64,272,96,136,200,96,152,296,8,72,56,16,168,184,40,272,112,120,32,80
48,16,32,96,64,24,80,128,200,128,32,88,160,8,224,24,136,128,24,64,40,208,72,56,232
16,112,112,24,48,72,112,64,16,136,136,16,312,8,192,264,24,192,16,32,40,56,32,240,16
24,40,32,48,120,112,216,352,264,72,64,48,16,8,176,16,240,104,32,48,96,48,136,80,216
56,336,112,40,88,80,48,40,48,32,136,160,16,8,160,144,224,40,168,96,80,264,96,40,168
96,104,136,128,224,232,200,16,152,256,112,80,56,8,112,32,192,56,104,120,88,160,96,40,24
16,24,32,48,48,232,216,40,232,184,144,24,264,8,104,240,152,40,16,144,40,152,256,48,16
56,152,16,72,40,192,88,32,96,56,240,64,200,8,208,136,88,24,56,48,64,96,24,224,120
16,72,24,32,16,200,200,56,64,88,24,16,248,8,88,16,64,104,16,40,80,136,200,16,16
24,32,160,40,80,40,24,32,56,88,304,24,48,8,48,16,56,48,72,176,328,112,64,64,64
328,120,24,104,48,72,120,16,48,72,40,152,160,8,240,16,128,64,16,32,136,64,88,192,64
16,120,40,24,56,40,176,216,192,160,88,16,48,8,88,16,208,56,16,80,208,120,48,32,16
1064,1176,1144,1224,1136,960,1088,1280,1144,2424,1112,752,1328,1144,1152,1144,1064,1008,1152,952,1048,912,2320,1072,1168
856,760,904,880,912,984,848,840,832,784,920,880,928,888,776,840,776,888,808,848,920,848,864,808,760
832,1112,1120,1168,1120,1352,920,1296,928,800,1096,1120,976,912,744,920,952,976,880,1168,1328,1496,1096,1456,1072
1024,1376,2184,976,1192,1072,1064,3952,952,1104,2712,1192,1920,848,1240,1232,1272,2616,2080,1224,1088,5000,2128,888,2064
