136,48,32,168,96,48,16,24,24,160,96,224,48,152,48,24,96,32,184,32,72,40,32,32,88
80,200,16,88,128,64,328,240,72,48,128,160,16,128,48,16,144,176,96,64,40,136,32,176,16
48,80,24,96,80,64,24,128,72,232,120,80,64,40,72,320,88,48,16,40,192,16,88,360,96
32,136,40,32,48,336,248,88,40,80,16,48,184,40,56,80,56,208,112,208,176,24,16,16,112
16,280,88,24,224,248,240,352,64,80,104,208,96,240,32,104,208,168,56,24,56,16,184,56,16
72,48,64,16,184,32,216,120,320,32,32,128,96,40,232,24,88,40,168,144,304,64,112,16,136
16,152,80,96,40,208,24,88,168,208,16,128,16,16,48,16,56,16,144,24,152,40,96,56,96
128,200,48,16,40,312,32,32,48,200,72,120,16,72,56,112,40,72,168,104,40,136,152,16,192
96,56,48,16,64,104,128,64,136,152,64,184,96,368,40,16,120,32,16,48,64,232,48,24,16
16,64,144,40,32,168,288,72,24,216,16,40,136,336,32,16,24,48,112,96,32,88,160,96,88
48,32,184,16,112,256,80,136,24,160,24,120,288,192,88,16,32,40,16,56,72,72,88,56,16
120,64,24,64,32,120,88,184,136,176,112,24,16,184,144,384,56,80,56,184,136,104,56,48,104
16,16,48,32,72,64,128,160,128,184,16,40,40,48,184,16,16,112,24,40,240,16,48,16,16
152,64,88,16,56,144,104,96,176,248,264,80,56,80,48,16,64,136,16,40,64,136,184,56,16
24,88,248,32,120,216,16,288,40,224,24,240,136,32,176,16,56,64,120,96,40,32,72,24,152
136,48,32,168,96,48,16,24,24,160,96,224,48,152,48,24,96,32,184,32,72,40,32,32,88
80,200,16,88,128,64,328,240,72,48,128,160,16,128,48,16,144,176,96,64,40,136,32,176,16
48,80,24,96,80,64,24,128,72,232,120,80,64,40,72,320,88,48,16,40,192,16,88,360,96
136,48,32,168,96,48,16,24,24,160,96,224,48,152,48,24,96,32,184,32,72,40,32,32,88
80,200,16,88,128,64,328,240,72,48,128,160,16,128,48,16,144,176,96,64,40,136,32,176,16
48,80,24,96,80,64,24,128,72,232,120,80,64,40,72,320,88,48,16,40,192,16,88,360,96
32,136,40,32,48,336,248,88,40,80,16,48,184,40,56,80,56,208,112,208,176,24,16,16,112
16,280,88,24,224,248,240,352,64,80,104,208,96,240,32,104,208,168,56,24,56,16,184,56,16
72,48,64,16,184,32,216,120,320,32,32,128,96,40,232,24,88,40,168,144,304,64,112,16,136
16,152,80,96,40,208,24,88,168,208,16,128,16,16,48,16,56,16,144,24,152,40,96,56,96
128,200,48,16,40,312,32,32,48,200,72,120,16,72,56,112,40,72,168,104,40,136,152,16,192
96,56,48,16,64,104,128,64,136,152,64,184,96,368,40,16,120,32,16,48,64,232,48,24,16
16,64,144,40,32,168,288,72,24,216,16,40,136,336,32,16,24,48,112,96,32,88,160,96,88
48,32,184,16,112,256,80,136,24,160,24,120,288,192,88,16,32,40,16,56,72,72,88,56,16
120,64,24,64,32,120,88,184,136,176,112,24,16,184,144,384,56,80,56,184,136,104,56,48,104
968,1128,1192,1224,1160,1088,1240,888,896,1112,1064,944,1080,872,928,1008,1280,1024,1320,1248,1168,1152,952,904,1352
5000,5000,5000,5000,5000,5000,4104,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3464,5000,5000,5000,5000,5000,5000,5000
2696,4312,5000,5000,5000,4440,5000,5000,5000,5000,1224,4072,5000,5000,5000,5000,5000,5000,5000,600,5000,2384,5000,5000,5000
